Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Field_Area_hectare,Previous_Irrigation_mm,Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Mulching_Used,Region
6.77,54.47,1.39,3.46,34.77,91.44,1419.52,7.49,11.99,13.23,33.81,Sandy,Cotton,Vegetative,Kharif,Drip,Rainwater,Yes,West
5.84,8.56,0.55,1.54,33.0,80.92,1328.36,9.12,2.84,1.0,102.86,Silt,Wheat,Sowing,Kharif,Rainfed,Groundwater,Yes,West
5.73,24.41,0.55,0.76,13.38,81.25,2076.28,9.5,16.37,5.76,108.84,Loamy,Sugarcane,Vegetative,Kharif,Drip,Reservoir,Yes,East
5.23,55.74,0.56,1.59,28.16,85.54,725.09,9.43,11.88,11.51,23.96,Loamy,Sugarcane,Vegetative,Zaid,Sprinkler,Rainwater,No,South
5.68,59.35,1.16,2.12,18.39,58.48,1547.28,10.89,16.58,2.7,39.58,Sandy,Cotton,Harvest,Kharif,Drip,Reservoir,Yes,Central
6.65,34.22,0.75,2.05,16.77,35.46,1699.08,9.32,12.66,13.62,64.94,Sandy,Potato,Harvest,Rabi,Canal,Reservoir,No,East
6.15,28.43,0.88,0.46,28.73,37.66,877.15,9.24,17.43,8.21,117.69,Loamy,Potato,Sowing,Rabi,Drip,Reservoir,No,Central
7.18,34.9,0.98,0.86,26.72,87.72,572.88,6.23,13.07,0.67,17.3,Loamy,Sugarcane,Vegetative,Kharif,Canal,River,No,East
5.39,43.1,0.42,2.78,32.35,44.64,2037.02,6.73,11.18,10.95,70.41,Clay,Wheat,Sowing,Zaid,Rainfed,Rainwater,Yes,West
6.77,57.47,0.71,2.21,38.13,29.7,586.26,8.19,9.7,4.65,27.5,Loamy,Maize,Harvest,Kharif,Canal,Groundwater,No,West
5.67,31.07,0.64,2.15,12.42,75.85,1747.02,10.89,12.71,2.27,59.78,Silt,Sugarcane,Harvest,Kharif,Canal,Reservoir,Yes,Central
7.27,18.3,0.38,0.69,21.09,37.67,184.81,4.27,13.03,5.6,6.51,Silt,Sugarcane,Flowering,Zaid,Rainfed,River,No,East
6.92,41.28,0.39,3.29,26.96,68.62,2078.86,8.86,9.46,14.85,96.66,Silt,Cotton,Flowering,Zaid,Sprinkler,Reservoir,No,West
5.14,60.53,0.97,1.7,35.62,86.63,2477.43,7.86,6.67,4.33,49.2,Clay,Wheat,Flowering,Rabi,Canal,Groundwater,Yes,Central
6.8,37.77,0.5,2.34,37.95,90.64,2198.46,7.15,8.13,8.01,19.07,Silt,Potato,Flowering,Kharif,Rainfed,Rainwater,No,South
6.47,52.11,0.58,2.36,38.06,34.13,1324.35,5.88,17.38,4.13,53.25,Sandy,Sugarcane,Harvest,Zaid,Drip,Rainwater,No,West
6.88,13.61,0.74,1.66,38.95,65.98,1364.09,5.65,15.63,13.58,64.47,Silt,Maize,Flowering,Kharif,Canal,Reservoir,No,South
6.74,18.89,0.8,3.13,34.74,81.14,1843.07,4.25,7.16,12.5,78.63,Silt,Cotton,Flowering,Kharif,Sprinkler,Reservoir,Yes,North
7.91,59.74,0.68,2.18,21.5,45.61,1729.94,9.63,14.56,7.27,16.84,Loamy,Wheat,Flowering,Kharif,Rainfed,Reservoir,No,Central
5.75,57.06,1.47,1.73,18.0,89.42,1042.99,8.75,0.95,2.59,53.76,Loamy,Wheat,Vegetative,Kharif,Canal,Groundwater,Yes,North
5.45,52.99,0.6,1.72,20.57,47.6,52.16,4.54,3.38,5.2,71.41,Loamy,Sugarcane,Flowering,Kharif,Rainfed,Rainwater,No,East
5.06,63.75,0.83,1.97,36.38,43.79,2355.26,4.31,14.18,4.84,100.58,Sandy,Rice,Sowing,Kharif,Canal,Groundwater,No,East
4.87,33.7,0.93,3.33,41.48,39.85,1546.45,5.61,2.86,14.54,11.85,Clay,Rice,Sowing,Kharif,Rainfed,Reservoir,Yes,West
6.52,49.9,1.38,1.2,32.32,48.67,1134.52,10.11,9.36,7.61,29.62,Silt,Sugarcane,Vegetative,Kharif,Sprinkler,Rainwater,No,North
5.63,13.98,0.97,3.37,15.33,51.62,2129.34,9.53,2.74,5.32,89.06,Sandy,Sugarcane,Flowering,Kharif,Drip,River,No,Central
6.04,50.53,0.43,3.39,27.73,85.75,992.54,7.65,15.26,7.31,78.67,Sandy,Cotton,Sowing,Kharif,Rainfed,Rainwater,No,East
4.85,47.15,1.4,0.73,34.91,66.32,1594.03,8.11,14.78,9.22,35.41,Sandy,Maize,Flowering,Zaid,Sprinkler,Rainwater,Yes,Central
7.7,58.75,0.46,0.26,15.15,68.97,2115.31,9.93,2.16,10.57,74.88,Clay,Sugarcane,Sowing,Kharif,Sprinkler,Reservoir,No,West
5.29,25.03,1.05,1.73,35.41,82.29,1406.43,8.67,10.85,4.1,3.7,Clay,Potato,Sowing,Kharif,Sprinkler,Reservoir,Yes,South
5.53,53.18,0.93,1.52,40.34,87.55,1041.87,8.77,12.52,8.88,113.58,Loamy,Maize,Sowing,Rabi,Sprinkler,Groundwater,Yes,Central
5.16,36.48,0.95,2.82,33.4,92.74,2064.82,9.34,3.96,0.76,104.54,Sandy,Sugarcane,Vegetative,Zaid,Sprinkler,Rainwater,Yes,North
5.77,58.38,1.54,0.68,39.71,29.7,1798.12,5.51,1.09,13.41,33.27,Silt,Wheat,Flowering,Zaid,Drip,Reservoir,No,Central
7.72,62.16,1.43,0.33,12.59,46.39,1361.72,4.99,2.89,1.33,30.74,Sandy,Rice,Flowering,Rabi,Drip,Groundwater,Yes,South
7.63,60.46,0.35,2.65,27.91,41.42,1523.45,8.65,5.77,5.55,2.64,Clay,Maize,Flowering,Zaid,Rainfed,River,Yes,Central
5.08,46.75,0.58,3.02,32.0,52.1,355.26,9.51,4.79,1.98,111.68,Sandy,Sugarcane,Sowing,Rabi,Sprinkler,River,Yes,South
6.45,34.33,1.14,2.18,22.75,46.55,913.48,10.76,14.62,2.47,29.52,Silt,Wheat,Vegetative,Zaid,Drip,River,No,North
5.48,19.82,1.02,0.96,24.73,80.42,1096.71,6.09,11.64,6.03,30.05,Silt,Maize,Flowering,Rabi,Drip,Groundwater,Yes,South
6.65,17.05,0.99,1.04,15.16,84.36,2186.04,5.45,3.86,11.35,71.87,Silt,Wheat,Sowing,Rabi,Drip,Groundwater,Yes,South
5.16,31.56,0.7,2.98,38.96,73.7,1104.19,9.82,13.19,5.64,78.91,Sandy,Rice,Flowering,Kharif,Sprinkler,Rainwater,Yes,North
6.45,40.6,0.75,2.03,34.79,71.78,2346.49,4.44,1.44,5.08,60.94,Clay,Wheat,Harvest,Kharif,Canal,Rainwater,Yes,Central
6.36,44.29,0.81,0.39,16.14,81.37,1593.56,7.09,17.67,2.6,35.54,Silt,Wheat,Flowering,Zaid,Sprinkler,River,No,South
8.13,32.04,0.59,2.62,23.95,75.84,730.98,9.12,3.61,2.57,4.38,Sandy,Potato,Harvest,Rabi,Rainfed,Reservoir,No,South
7.97,15.79,0.99,3.36,26.02,64.01,2195.57,4.48,6.7,10.74,116.84,Loamy,Potato,Vegetative,Kharif,Sprinkler,River,No,East
5.02,41.38,0.42,3.42,20.55,68.28,1686.59,7.78,11.99,1.23,3.4,Loamy,Sugarcane,Sowing,Rabi,Rainfed,Rainwater,Yes,Central
6.64,46.28,1.16,0.45,19.11,45.24,2090.47,7.16,10.31,2.58,4.18,Silt,Cotton,Flowering,Kharif,Rainfed,Rainwater,Yes,Central
6.18,60.17,0.59,1.21,15.16,31.61,905.26,10.63,3.07,6.49,90.47,Silt,Wheat,Harvest,Zaid,Sprinkler,River,No,Central
7.04,47.15,1.4,0.51,29.45,29.48,1101.92,5.92,15.49,1.39,15.51,Silt,Cotton,Harvest,Zaid,Rainfed,Rainwater,Yes,South
6.68,55.79,1.54,2.34,38.49,58.04,1238.91,4.97,0.53,14.2,104.85,Silt,Potato,Harvest,Zaid,Canal,Reservoir,Yes,West
7.39,22.68,0.64,2.01,23.69,75.14,1061.21,6.58,7.98,1.47,111.27,Clay,Cotton,Harvest,Kharif,Rainfed,Reservoir,Yes,North
7.42,54.78,1.54,0.75,34.91,94.41,2295.92,5.11,9.67,7.8,72.33,Sandy,Cotton,Harvest,Rabi,Sprinkler,Rainwater,Yes,West
8.06,31.62,1.41,1.32,12.24,88.87,713.25,8.14,1.73,10.08,16.83,Sandy,Cotton,Flowering,Kharif,Sprinkler,Groundwater,No,North
5.1,12.48,1.11,3.03,41.89,57.45,1269.87,9.56,11.02,13.56,110.23,Sandy,Maize,Vegetative,Rabi,Sprinkler,Groundwater,Yes,East
6.28,61.07,0.56,0.89,37.4,57.81,1484.66,8.64,6.05,14.63,48.88,Clay,Cotton,Harvest,Zaid,Sprinkler,Rainwater,No,Central
5.85,58.28,1.14,0.97,35.06,80.02,1863.04,7.57,9.24,6.27,74.59,Loamy,Sugarcane,Flowering,Zaid,Drip,Reservoir,No,East
7.71,60.48,1.39,0.27,35.48,49.1,2490.2,8.69,3.35,10.15,40.65,Sandy,Maize,Sowing,Kharif,Sprinkler,Reservoir,No,West
6.34,58.75,0.67,1.75,24.08,36.16,1707.19,8.64,19.01,0.44,52.9,Loamy,Cotton,Flowering,Kharif,Rainfed,Reservoir,No,North
7.11,59.2,0.35,0.46,12.4,43.32,1332.16,10.66,11.12,7.32,28.16,Clay,Potato,Sowing,Zaid,Sprinkler,Groundwater,Yes,East
6.67,16.98,0.84,1.8,12.58,36.15,2064.72,10.26,12.91,10.49,42.21,Clay,Sugarcane,Flowering,Zaid,Rainfed,River,Yes,North
7.97,21.41,1.29,2.07,33.08,78.32,1270.46,9.75,16.81,11.1,68.18,Sandy,Sugarcane,Vegetative,Zaid,Sprinkler,Groundwater,No,South
7.07,31.07,0.41,2.73,24.23,52.99,2164.07,9.95,4.66,7.01,84.01,Clay,Cotton,Vegetative,Rabi,Drip,Reservoir,No,South
7.8,17.77,1.54,3.18,12.94,36.03,1753.82,7.84,19.11,5.14,98.47,Loamy,Rice,Vegetative,Zaid,Drip,River,No,Central
6.33,63.94,0.32,3.31,30.01,62.8,1697.28,9.54,14.16,11.35,99.05,Loamy,Rice,Sowing,Zaid,Sprinkler,Rainwater,Yes,Central
5.98,10.39,0.64,2.73,24.43,93.8,2208.97,5.12,14.98,0.64,102.37,Silt,Maize,Harvest,Kharif,Sprinkler,Reservoir,Yes,North
7.31,22.28,1.0,1.6,20.22,45.8,825.22,7.93,16.03,8.63,35.41,Clay,Rice,Harvest,Zaid,Drip,River,No,West
7.86,24.23,0.74,1.43,36.16,73.29,803.98,5.42,13.07,0.56,88.2,Clay,Cotton,Vegetative,Zaid,Rainfed,Rainwater,No,South
6.61,9.8,0.86,0.63,40.34,63.28,177.38,6.37,18.89,8.63,103.82,Silt,Sugarcane,Harvest,Zaid,Drip,River,No,East
5.84,64.78,1.55,2.7,37.3,57.37,709.38,5.11,13.94,3.53,118.72,Silt,Sugarcane,Flowering,Kharif,Rainfed,Reservoir,No,North
6.99,11.67,1.29,1.68,31.57,44.57,2422.7,10.84,12.96,9.51,51.03,Clay,Maize,Sowing,Kharif,Sprinkler,River,No,West
5.64,24.74,1.04,2.23,21.89,85.24,182.33,4.99,6.72,4.96,19.7,Loamy,Maize,Vegetative,Zaid,Drip,Rainwater,Yes,East
8.02,44.96,1.25,3.46,39.1,55.3,1420.99,5.13,12.82,9.33,24.76,Sandy,Potato,Flowering,Kharif,Drip,Groundwater,Yes,South
6.59,55.24,0.58,0.48,36.18,81.73,631.29,10.26,7.02,7.74,9.28,Clay,Cotton,Flowering,Zaid,Sprinkler,Rainwater,No,North
6.25,19.43,1.2,2.64,41.95,50.25,1725.24,7.92,16.46,12.58,88.54,Clay,Sugarcane,Vegetative,Zaid,Drip,River,No,North
6.21,41.41,0.64,3.2,34.91,58.06,1406.5,4.48,4.68,5.25,28.42,Loamy,Wheat,Harvest,Kharif,Drip,River,Yes,East
5.44,19.87,0.67,0.65,34.01,54.25,1632.67,9.78,19.15,2.27,16.0,Loamy,Wheat,Vegetative,Zaid,Canal,River,No,West
7.08,8.46,0.84,1.35,41.5,68.11,1488.65,7.01,0.61,0.32,92.96,Loamy,Sugarcane,Sowing,Zaid,Rainfed,Rainwater,Yes,West
7.0,61.45,0.45,2.37,29.46,35.99,657.16,4.33,13.9,14.18,92.09,Silt,Cotton,Sowing,Zaid,Sprinkler,Reservoir,Yes,East
5.52,20.73,0.93,3.33,28.91,67.84,2041.72,10.22,19.76,5.55,115.55,Loamy,Wheat,Vegetative,Zaid,Drip,Reservoir,Yes,West
6.44,60.14,0.46,0.93,19.44,38.11,1580.55,5.85,5.55,6.54,27.82,Clay,Sugarcane,Sowing,Zaid,Canal,Reservoir,Yes,East
6.77,47.12,1.44,0.69,33.04,80.68,2263.74,10.11,12.0,12.15,9.28,Clay,Wheat,Flowering,Kharif,Drip,Rainwater,No,East
6.37,58.2,0.33,3.32,27.55,33.62,1353.39,8.1,6.28,14.53,43.75,Silt,Rice,Harvest,Zaid,Rainfed,Reservoir,No,West
7.96,14.79,0.81,3.21,23.42,37.41,1696.12,8.11,15.89,4.07,17.05,Clay,Cotton,Flowering,Zaid,Rainfed,Groundwater,Yes,West
7.94,37.77,0.5,2.95,12.7,62.14,888.99,10.7,3.2,6.92,33.53,Silt,Rice,Flowering,Rabi,Rainfed,River,No,South
6.53,37.97,0.78,2.72,13.74,71.06,1874.16,8.54,12.46,0.43,26.1,Loamy,Sugarcane,Vegetative,Kharif,Rainfed,Groundwater,No,West
7.26,21.71,1.48,3.22,15.49,34.47,1226.29,7.65,19.32,13.85,59.14,Clay,Rice,Harvest,Kharif,Canal,River,No,South
8.1,19.75,1.34,2.72,21.45,80.96,1591.9,6.71,0.89,4.46,66.75,Sandy,Sugarcane,Vegetative,Zaid,Canal,River,No,South
6.8,41.99,1.28,1.55,21.45,68.89,2103.23,4.2,4.02,11.27,110.46,Sandy,Sugarcane,Harvest,Zaid,Drip,Reservoir,Yes,West
7.63,18.3,0.42,0.72,41.08,51.11,2065.36,9.43,1.3,13.96,51.37,Clay,Maize,Flowering,Rabi,Drip,Reservoir,No,North
5.38,39.86,1.22,2.07,15.77,44.79,531.33,9.25,5.1,7.31,14.43,Loamy,Maize,Harvest,Zaid,Rainfed,Groundwater,Yes,North
7.26,51.84,1.09,3.38,26.38,91.17,1131.68,7.87,11.35,12.23,14.13,Clay,Maize,Vegetative,Kharif,Drip,River,Yes,East
4.95,58.64,0.52,0.87,16.84,86.59,2222.23,9.93,2.58,3.26,111.24,Silt,Rice,Sowing,Zaid,Rainfed,River,Yes,South
7.64,50.48,0.64,3.49,25.28,72.01,2350.17,8.39,6.91,11.78,6.51,Silt,Wheat,Harvest,Zaid,Drip,Rainwater,No,North
7.64,19.79,0.34,0.16,22.14,49.05,896.05,5.08,18.46,3.8,57.17,Sandy,Potato,Vegetative,Kharif,Rainfed,Groundwater,Yes,East
7.1,10.29,0.32,2.34,32.62,43.09,2464.74,6.12,2.43,13.75,1.44,Silt,Rice,Harvest,Kharif,Rainfed,Reservoir,Yes,North
6.65,37.31,1.29,0.24,24.23,43.75,846.36,4.93,1.29,1.51,38.88,Sandy,Wheat,Vegetative,Zaid,Drip,Reservoir,Yes,North
5.1,28.66,1.18,0.91,22.58,38.93,1551.85,9.24,9.73,5.71,40.79,Sandy,Potato,Vegetative,Rabi,Drip,Rainwater,No,East
8.04,56.66,0.68,1.75,26.6,61.21,1458.7,7.2,0.72,5.36,46.72,Loamy,Wheat,Vegetative,Rabi,Rainfed,River,Yes,East
5.51,42.71,0.75,0.89,23.71,73.91,1311.99,8.23,1.87,8.81,68.52,Sandy,Potato,Sowing,Rabi,Rainfed,Groundwater,No,East
6.12,39.49,0.52,0.89,13.34,41.05,2235.42,10.41,15.08,4.5,71.93,Silt,Cotton,Sowing,Rabi,Drip,Reservoir,Yes,North
5.38,57.38,1.32,2.64,30.9,67.61,1582.83,10.99,16.43,7.36,76.24,Silt,Sugarcane,Flowering,Zaid,Canal,Rainwater,Yes,Central
6.2,58.38,1.27,2.64,19.24,69.66,1803.14,4.63,1.46,1.53,16.74,Silt,Wheat,Flowering,Rabi,Drip,Groundwater,No,South
5.1,34.82,1.39,0.24,18.52,75.85,1255.22,7.92,4.54,10.62,75.24,Clay,Maize,Sowing,Rabi,Rainfed,River,No,Central
6.25,46.11,1.32,2.98,37.45,46.39,2175.75,4.27,18.57,5.05,40.98,Silt,Rice,Harvest,Kharif,Canal,River,No,West
5.48,61.68,1.59,3.45,14.07,50.31,1819.58,9.78,19.61,12.89,13.37,Silt,Cotton,Sowing,Rabi,Canal,Rainwater,Yes,Central
6.83,35.19,0.42,2.43,29.58,50.72,2393.49,7.72,13.63,5.41,47.54,Sandy,Potato,Harvest,Zaid,Sprinkler,River,Yes,West
5.39,50.48,0.46,2.43,37.04,28.74,2310.48,8.11,15.69,11.89,49.72,Silt,Potato,Flowering,Rabi,Rainfed,Reservoir,No,Central
6.39,28.81,0.95,2.09,29.95,90.19,1270.46,5.91,19.1,6.57,69.51,Silt,Wheat,Flowering,Kharif,Drip,Rainwater,No,North
5.56,20.25,0.52,2.37,41.49,84.49,1725.24,8.99,12.06,6.01,30.02,Clay,Potato,Flowering,Kharif,Rainfed,Rainwater,No,East
5.97,64.41,1.29,3.23,29.43,27.49,1409.01,10.61,18.33,1.06,73.27,Clay,Cotton,Vegetative,Kharif,Rainfed,Groundwater,Yes,Central
5.57,12.98,0.65,2.59,18.26,65.41,2027.57,8.44,14.84,13.26,74.69,Clay,Wheat,Vegetative,Rabi,Sprinkler,Groundwater,No,South
6.65,45.36,0.79,0.85,16.54,77.24,1722.04,4.99,6.69,12.44,103.9,Silt,Maize,Sowing,Kharif,Canal,Groundwater,No,West
5.73,18.63,0.42,1.65,18.4,72.21,2035.99,7.29,3.68,9.42,70.68,Clay,Potato,Harvest,Zaid,Canal,Groundwater,Yes,Central
5.83,33.78,1.21,1.18,25.1,76.86,1869.59,4.47,8.54,14.96,18.38,Sandy,Rice,Sowing,Rabi,Canal,Rainwater,Yes,West
7.47,19.92,1.41,2.34,26.4,73.84,2471.19,6.17,12.32,9.11,112.53,Loamy,Potato,Harvest,Rabi,Canal,Groundwater,Yes,West
6.16,20.05,0.88,0.35,35.74,73.47,2360.48,8.7,13.34,2.02,104.18,Sandy,Sugarcane,Harvest,Rabi,Drip,Groundwater,Yes,North
6.34,54.86,1.57,3.33,35.83,72.99,1401.57,6.64,14.87,1.36,31.94,Clay,Sugarcane,Vegetative,Rabi,Canal,Groundwater,Yes,West
7.49,8.92,1.39,0.32,36.95,86.94,2164.04,6.22,2.43,9.14,61.52,Clay,Cotton,Harvest,Rabi,Drip,Reservoir,Yes,South
6.72,10.04,0.73,3.19,15.64,29.19,1205.65,7.51,6.44,2.95,18.38,Sandy,Wheat,Vegetative,Kharif,Drip,River,No,East
6.42,38.74,0.56,3.31,21.38,71.14,791.86,4.76,14.53,5.64,21.5,Sandy,Maize,Flowering,Zaid,Canal,Reservoir,Yes,North
6.12,10.65,1.1,1.74,27.22,75.84,643.25,5.18,15.73,2.38,85.89,Loamy,Sugarcane,Sowing,Rabi,Drip,Rainwater,Yes,South
5.66,41.61,1.09,1.9,40.42,38.39,1240.36,7.09,3.71,9.36,30.23,Clay,Rice,Vegetative,Zaid,Sprinkler,River,No,Central
6.59,24.88,0.42,2.57,21.09,63.69,788.32,8.73,5.06,7.62,103.14,Sandy,Sugarcane,Vegetative,Kharif,Drip,Rainwater,No,Central
7.49,42.66,1.44,1.82,36.13,39.12,1416.56,9.55,19.35,3.2,62.71,Clay,Potato,Harvest,Zaid,Canal,River,No,West
6.7,30.36,0.75,0.76,20.49,35.2,1247.18,4.53,15.73,3.44,39.78,Sandy,Wheat,Harvest,Kharif,Canal,Groundwater,Yes,West
7.2,27.2,0.72,0.15,34.77,28.89,1534.32,9.29,6.78,3.32,64.63,Loamy,Potato,Harvest,Kharif,Drip,Rainwater,Yes,South
8.14,57.13,0.93,1.77,14.42,92.11,1451.85,6.76,1.59,11.36,112.19,Silt,Sugarcane,Flowering,Rabi,Sprinkler,Rainwater,Yes,North
5.95,37.15,1.47,1.41,41.06,37.36,2111.79,10.09,17.43,8.63,12.99,Sandy,Sugarcane,Harvest,Kharif,Canal,Rainwater,No,West
5.63,49.8,0.43,2.74,32.0,73.52,2366.54,9.29,15.6,5.62,52.28,Sandy,Wheat,Harvest,Zaid,Rainfed,Rainwater,Yes,West
7.5,32.7,0.78,2.54,31.48,87.11,464.28,10.25,11.2,13.32,38.5,Clay,Sugarcane,Sowing,Zaid,Drip,Rainwater,Yes,Central
6.21,12.98,0.42,3.11,26.33,82.31,718.1,10.7,18.05,12.39,89.67,Sandy,Maize,Sowing,Rabi,Rainfed,River,No,Central
7.73,22.79,1.38,1.79,33.49,54.57,2323.51,10.41,19.73,3.12,18.09,Clay,Rice,Vegetative,Kharif,Canal,Groundwater,No,South
6.77,21.67,0.4,2.75,19.39,78.2,2103.16,6.98,15.21,12.44,106.11,Sandy,Rice,Harvest,Zaid,Sprinkler,River,Yes,West
4.85,60.87,1.1,1.85,26.46,29.7,565.98,6.18,5.56,8.21,49.02,Sandy,Potato,Vegetative,Rabi,Rainfed,Reservoir,Yes,South
5.24,44.02,1.54,1.28,21.88,35.33,1233.38,6.29,6.85,5.3,33.62,Sandy,Maize,Sowing,Kharif,Drip,Reservoir,Yes,South
5.62,40.81,0.98,2.05,15.33,36.29,507.32,6.98,18.75,11.68,49.83,Loamy,Cotton,Vegetative,Rabi,Sprinkler,Groundwater,Yes,East
7.49,23.36,0.49,1.02,27.48,89.88,1541.45,10.65,19.45,13.31,86.4,Clay,Potato,Vegetative,Kharif,Rainfed,River,No,South
5.02,64.71,1.38,1.02,15.15,84.33,2214.97,4.62,8.78,14.86,65.23,Silt,Sugarcane,Flowering,Zaid,Rainfed,Reservoir,No,West
6.66,44.02,1.5,2.02,36.18,72.65,2138.32,5.49,4.34,9.33,107.24,Sandy,Cotton,Harvest,Kharif,Rainfed,Groundwater,No,East
6.25,21.11,0.38,1.37,29.43,83.91,1331.92,8.73,10.32,12.9,48.81,Silt,Wheat,Flowering,Kharif,Sprinkler,Rainwater,No,East
5.05,54.96,1.54,0.4,21.22,25.46,719.54,4.5,11.89,3.84,81.33,Silt,Cotton,Harvest,Zaid,Drip,Rainwater,No,Central
5.12,39.54,1.17,2.97,15.86,42.77,908.54,10.93,18.21,7.99,99.26,Loamy,Rice,Harvest,Rabi,Rainfed,Reservoir,Yes,West
8.09,42.46,1.4,0.89,17.78,53.84,1044.93,10.02,4.89,11.68,61.5,Clay,Maize,Sowing,Kharif,Canal,Reservoir,Yes,North
7.11,25.32,1.23,1.64,34.22,87.79,1427.98,5.19,12.9,6.14,34.31,Sandy,Wheat,Sowing,Kharif,Sprinkler,River,Yes,North
7.82,45.55,1.07,0.32,29.92,80.39,514.08,4.35,19.86,7.31,92.14,Sandy,Cotton,Harvest,Kharif,Drip,Groundwater,Yes,Central
5.1,61.26,0.58,3.28,38.31,69.93,1265.81,4.45,2.63,8.25,27.95,Silt,Sugarcane,Harvest,Rabi,Drip,River,No,South
7.13,54.31,0.47,0.58,27.62,76.57,931.29,10.14,14.44,5.55,90.06,Clay,Cotton,Vegetative,Kharif,Drip,Rainwater,Yes,North
6.04,59.34,1.59,0.81,20.65,74.57,1309.36,7.91,1.6,8.56,4.88,Loamy,Wheat,Harvest,Kharif,Rainfed,River,Yes,South
5.83,57.52,0.59,2.23,26.88,27.11,816.77,8.75,8.99,14.85,11.76,Clay,Sugarcane,Harvest,Rabi,Drip,Rainwater,No,North
5.73,56.48,0.62,1.74,18.09,35.69,2072.41,5.76,4.37,1.08,118.34,Clay,Cotton,Sowing,Kharif,Drip,Groundwater,No,East
5.84,53.85,0.49,1.15,34.77,55.3,2286.57,7.26,16.35,4.13,39.37,Silt,Maize,Sowing,Zaid,Drip,Rainwater,Yes,West
7.54,32.81,0.49,3.21,20.49,94.96,1842.99,5.32,6.73,13.09,73.07,Clay,Rice,Flowering,Rabi,Sprinkler,Groundwater,No,South
5.98,19.16,1.08,2.11,36.95,54.88,1250.81,10.82,4.87,1.07,31.17,Loamy,Wheat,Vegetative,Rabi,Rainfed,Rainwater,No,West
5.94,25.9,0.84,2.68,37.95,48.03,1582.83,6.3,0.64,4.34,118.65,Silt,Rice,Vegetative,Zaid,Canal,River,No,East
5.65,38.42,1.12,1.81,37.0,36.39,866.15,10.46,1.59,1.85,2.62,Clay,Wheat,Harvest,Kharif,Drip,River,No,East
5.02,21.97,0.56,1.73,38.64,29.81,729.32,7.97,6.11,7.33,68.48,Silt,Cotton,Flowering,Rabi,Sprinkler,Groundwater,Yes,West
6.61,38.95,0.4,1.68,28.95,26.01,2486.29,4.01,9.7,8.73,37.28,Sandy,Rice,Sowing,Kharif,Canal,River,Yes,East
5.92,12.04,1.34,0.59,16.88,37.68,1568.88,4.92,15.24,3.92,56.1,Silt,Cotton,Flowering,Zaid,Canal,River,No,North
7.97,12.55,0.68,2.99,25.86,44.99,2368.24,9.12,9.75,0.45,47.15,Clay,Rice,Sowing,Kharif,Rainfed,Reservoir,Yes,West
5.15,21.11,0.81,3.36,22.88,83.25,2157.97,8.77,17.03,8.21,102.45,Loamy,Maize,Flowering,Kharif,Sprinkler,Groundwater,Yes,West
5.66,30.05,0.78,1.67,19.43,56.31,1479.59,10.84,5.5,9.93,0.62,Sandy,Potato,Harvest,Rabi,Sprinkler,Reservoir,Yes,North
5.49,58.87,1.0,2.68,34.92,63.37,1458.7,4.67,10.68,9.1,104.06,Silt,Cotton,Vegetative,Kharif,Drip,Reservoir,No,Central
7.73,11.48,0.57,0.58,34.65,50.86,1694.93,9.93,3.6,12.2,108.84,Sandy,Cotton,Vegetative,Kharif,Rainfed,Reservoir,Yes,South
4.9,52.16,0.81,2.64,16.0,51.07,1816.62,6.43,1.36,2.51,51.68,Sandy,Maize,Vegetative,Zaid,Drip,River,Yes,North
5.41,8.06,1.13,3.14,17.75,78.25,558.53,6.42,0.7,5.3,82.14,Silt,Cotton,Vegetative,Zaid,Sprinkler,Groundwater,No,East
7.21,58.56,1.14,1.82,17.69,87.78,1061.21,5.94,19.38,12.44,43.84,Clay,Wheat,Sowing,Zaid,Sprinkler,River,Yes,South
7.05,48.98,1.5,1.42,24.87,48.11,1216.35,9.29,13.44,7.34,59.11,Loamy,Potato,Harvest,Zaid,Canal,Rainwater,Yes,North
7.99,46.63,0.76,3.42,38.08,92.06,1163.75,9.54,4.52,8.35,51.56,Loamy,Potato,Sowing,Kharif,Rainfed,Groundwater,Yes,East
6.09,42.74,0.42,2.68,15.73,67.08,48.09,8.02,14.53,8.04,69.12,Silt,Rice,Flowering,Zaid,Rainfed,Groundwater,No,South
7.67,45.71,0.71,2.81,22.32,72.65,1189.59,9.52,7.61,7.41,10.72,Loamy,Potato,Flowering,Kharif,Canal,Groundwater,No,Central
5.32,13.53,0.6,0.33,30.31,83.92,2033.44,6.14,15.49,1.3,23.77,Sandy,Wheat,Harvest,Zaid,Sprinkler,Groundwater,No,West
8.05,39.06,0.8,0.68,40.89,86.36,2143.77,7.03,2.84,11.12,53.74,Loamy,Maize,Flowering,Kharif,Drip,Rainwater,No,East
6.85,61.76,1.08,0.34,14.9,76.82,1038.91,8.33,10.52,14.24,74.39,Sandy,Cotton,Vegetative,Rabi,Sprinkler,Groundwater,Yes,South
7.39,46.94,1.25,1.0,22.4,56.59,531.1,9.75,9.64,2.47,26.68,Silt,Potato,Vegetative,Rabi,Rainfed,Groundwater,Yes,East
